Date,IPSA,CONC,VAPO
9/19/14,0.009,0.005,-0.012
9/12/14,-0.020,-0.001,-0.036
9/5/14,0.019,0.004,-0.031
8/29/14,0.012,-0.020,-0.011
8/22/14,-0.001,-0.008,0.003
8/15/14,0.016,0.040,-0.053
8/8/14,-0.003,0.009,0.019
8/1/14,-0.004,0.045,-0.028
7/25/14,-0.007,-0.028,0.000
7/18/14,-0.007,-0.001,0.079
7/11/14,0.022,0.022,0.024
7/4/14,0.003,-0.023,0.087
6/27/14,0.001,-0.028,-0.016
6/20/14,0.002,0.037,-0.035
6/13/14,-0.019,-0.018,-0.065
6/6/14,0.008,-0.002,-0.025
5/30/14,-0.014,-0.018,0.018
5/23/14,-0.002,0.007,-0.043
5/16/14,0.017,-0.002,-0.009
5/9/14,-0.007,-0.034,-0.009
5/2/14,0.028,0.039,-0.003
4/25/14,-0.018,0.000,-0.033
4/18/14,0.007,-0.033,0.013
4/11/14,0.027,0.072,0.032
4/4/14,0.002,-0.018,-0.006
3/28/14,0.035,0.026,-0.015
3/21/14,0.006,0.022,0.050
3/14/14,-0.023,-0.006,-0.044
3/7/14,-0.006,-0.009,0.006
2/28/14,0.025,0.004,0.060
2/21/14,-0.011,0.025,-0.011
2/14/14,0.052,-0.030,0.122
2/7/14,0.013,0.099,0.019
1/31/14,-0.044,-0.016,-0.148
1/24/14,-0.029,0.069,-0.195
1/17/14,0.023,-0.005,0.138
1/10/14,-0.021,-0.002,0.015
1/3/14,0.001,-0.029,0.022
12/27/13,-0.002,0.024,0.004
12/20/13,0.013,0.055,0.015
12/13/13,-0.013,-0.024,0.010
12/6/13,-0.022,-0.061,0.073
11/29/13,0.014,0.066,-0.023
11/22/13,-0.017,-0.030,0.022
11/15/13,-0.010,0.020,-0.023
11/8/13,-0.019,0.014,0.088
11/1/13,0.009,-0.026,-0.007
10/25/13,0.008,0.018,0.008
10/18/13,0.003,0.006,-0.074
10/11/13,-0.001,0.001,0.001
10/4/13,-0.009,-0.039,-0.036
9/27/13,0.014,0.047,0.100
9/20/13,0.008,0.000,-0.013
9/13/13,-0.002,-0.055,-0.039
9/6/13,0.047,0.065,0.081
8/30/13,-0.009,-0.004,-0.018
8/23/13,-0.019,-0.006,-0.073
8/16/13,-0.013,-0.049,-0.001
8/9/13,-0.011,0.025,-0.015
8/2/13,0.003,0.039,-0.027
7/26/13,-0.011,-0.013,-0.009
7/19/13,0.030,0.009,-0.038
7/12/13,-0.024,-0.043,-0.091
7/5/13,-0.049,-0.017,-0.048
6/28/13,0.054,0.005,-0.015
6/21/13,-0.042,0.011,-0.064
6/14/13,-0.031,-0.005,-0.073
6/7/13,-0.017,-0.015,-0.010
5/31/13,-0.001,0.025,-0.030
5/24/13,-0.014,0.003,-0.053
5/17/13,-0.014,0.039,-0.018
5/10/13,-0.005,0.009,0.048
5/3/13,0.014,0.026,-0.009
4/26/13,-0.006,-0.005,-0.034
4/19/13,-0.006,-0.001,-0.043
4/12/13,0.014,-0.009,0.019
4/5/13,-0.036,-0.033,-0.054
3/29/13,-0.004,-0.011,-0.038
3/22/13,0.009,-0.020,0.051
3/15/13,-0.026,-0.004,-0.055
3/8/13,-0.010,0.001,-0.044
3/1/13,0.006,0.012,-0.005
2/22/13,-0.011,0.018,-0.052
2/15/13,0.001,0.000,0.086
2/8/13,0.005,0.005,-0.021
2/1/13,0.014,0.010,0.011
1/25/13,-0.005,0.000,0.011
1/18/13,0.020,0.010,-0.017
1/11/13,0.009,-0.001,0.082
1/4/13,0.022,0.004,0.122
12/28/12,0.002,0.006,-0.024
12/21/12,0.007,-0.009,0.007
12/14/12,0.030,-0.003,0.012
12/7/12,-0.001,0.005,0.019
11/30/12,-0.001,-0.010,-0.030
11/23/12,-0.010,-0.026,0.003
11/16/12,-0.012,0.011,-0.026
11/9/12,-0.007,-0.014,-0.032
11/2/12,0.004,0.016,0.041
10/26/12,-0.004,-0.027,-0.038
10/19/12,0.005,-0.006,0.018
10/12/12,-0.013,-0.029,-0.053
10/5/12,0.017,0.029,0.004
9/28/12,0.000,-0.001,-0.046
9/21/12,0.003,0.047,-0.013
9/14/12,0.012,0.006,-0.031
9/7/12,0.003,0.005,-0.014
8/31/12,-0.008,0.010,-0.075
8/24/12,-0.017,-0.006,-0.034
8/17/12,0.018,-0.002,0.036
8/10/12,-0.001,-0.002,-0.024
8/3/12,-0.014,0.023,0.007
